Town_proper,slug,Town_upper,birthrate,deathrate,pop2012,pop2016,births2016,deaths2016,change5yr
Addison,ADDISON,ADDISON,1.046087016,0.825441176,1357,1348,17,15,-0.006632277
Albany,ALBANY,ALBANY,0.937985438,0.97841164,932,907,11,10,-0.026824034
Alburgh,ALBURGH,ALBURGH,1.08019532,0.971628414,2004,2012,14,18,0.003992016
Andover,ANDOVER,ANDOVER,0.631166167,1.048423183,471,478,3,6,0.014861996
Arlington,ARLINGTON,ARLINGTON,1.044541517,1.053716452,2297,2260,22,26,-0.016107967
Athens,ATHENS,ATHENS,0.596445869,0.731957755,438,438,2,6,0
Averill,AVERILL,AVERILL,0,1.666666667,24,24,0,0,0
Averys Gore,AVERYSGORE, Averys Gore,,,,,,,
Warners Grant,WARNERSGRANT, Warners Grant,,,,,,,
Lewis,LEWIS,Lewis,,,,,,,
Bakersfield,BAKERSFIELD,BAKERSFIELD,1.219705164,0.595485635,1342,1340,14,14,-0.001490313
Baltimore,BALTIMORE,BALTIMORE,0.317505799,0.944014326,247,253,2,1,0.024291498
Barnard,BARNARD,BARNARD,0.537377113,0.796333018,939,918,5,7,-0.022364217
Barnet,BARNET,BARNET,0.726013723,0.667101427,1696,1642,9,9,-0.031839623
Barre City,BARRECITY,BARRE CITY,1.384591966,1.29913373,8967,8710,106,120,-0.028660645
Barre Town,BARRETOWN,BARRE TOWN,0.857192243,0.954201721,7933,7792,62,77,-0.017773856
Barton,BARTON,BARTON,1.087233053,1.67136153,2753,2574,27,49,-0.065019978
Belvidere,BELVIDERE,BELVIDERE,1.067042033,0.560438765,354,364,3,2,0.028248588
Bennington,BENNINGTON,BENNINGTON,1.126107416,1.563868039,15555,15290,144,254,-0.017036323
Benson,BENSON,BENSON,0.945061957,0.944951641,1049,1020,10,8,-0.027645377
Berkshire,BERKSHIRE,BERKSHIRE,1.053363527,0.632146636,1710,1711,17,8,0.000584795
Berlin,BERLIN,BERLIN,0.684509394,1.517138802,2871,2802,23,38,-0.024033438
Bethel,BETHEL,BETHEL,1.186061003,0.777483917,2020,1982,23,13,-0.018811881
Bloomfield,BLOOMFIELD,BLOOMFIELD,0.272727273,1.281594653,219,221,0,3,0.00913242
Bolton,BOLTON,BOLTON,1.144743183,0.35357924,1188,1184,15,5,-0.003367003
Bradford,BRADFORD,BRADFORD,1.02823436,1.04296849,2782,2722,25,30,-0.021567218
Braintree,BRAINTREE,BRAINTREE,0.960173846,0.765723819,1236,1208,9,9,-0.022653722
Brandon,BRANDON,BRANDON,1.071939385,1.229003705,3919,3804,39,53,-0.02934422
Brattleboro,BRATTLEBORO,BRATTLEBORO,1.031841859,1.164141189,11848,11607,96,158,-0.020340986
Bridgewater,BRIDGEWATER,BRIDGEWATER,0.749999167,1.264925543,933,944,7,11,0.011789925
Bridport,BRIDPORT,BRIDPORT,1.053400246,0.823675572,1215,1208,10,10,-0.005761317
Brighton,BRIGHTON,BRIGHTON,1.058712749,1.262664284,1204,1177,12,18,-0.022425249
Bristol,BRISTOL,BRISTOL,1.082409468,0.964661648,3875,3906,42,31,0.008
Brookfield,BROOKFIELD,BROOKFIELD,0.585971739,0.602382608,1295,1313,8,4,0.013899614
Brookline,BROOKLINE,BROOKLINE,0.878329161,0.800098807,526,526,3,6,0
Brownington,BROWNINGTON,BROWNINGTON,0.909272087,1.242891116,979,953,8,19,-0.026557712
Brunswick,BRUNSWICK,BRUNSWICK,0.692705604,0.689680801,113,116,1,2,0.026548673
Buels Gore,BUELSGORE,BUELS GORE,0,0,30,30,0,0,0
Burke,BURKE,BURKE,0.819696711,0.865364365,1744,1718,13,14,-0.014908257
Burlington,BURLINGTON,BURLINGTON,0.870003997,0.666642378,42282,42260,370,279,-0.000520316
Cabot,CABOT,CABOT,1.010957174,0.775236589,1452,1440,15,14,-0.008264463
Calais,CALAIS,CALAIS,0.60049412,0.67548643,1601,1596,12,8,-0.003123048
Cambridge,CAMBRIDGE,CAMBRIDGE,1.29483601,0.493827295,3726,3837,58,18,0.02979066
Canaan,CANAAN,CANAAN,0.702738286,0.894199887,954,930,9,10,-0.025157233
Castleton,CASTLETON,CASTLETON,0.606066277,0.805948749,4665,4554,19,29,-0.023794212
Cavendish,CAVENDISH,CAVENDISH,0.690062459,0.952168162,1363,1381,7,18,0.013206163
Charleston,CHARLESTON,CHARLESTON,1.034830797,0.975307615,1014,996,8,12,-0.017751479
Charlotte,CHARLOTTE,CHARLOTTE,0.818017996,0.463806962,3812,3838,36,18,0.006820567
Chelsea,CHELSEA,CHELSEA,1.040200773,1.072375791,1241,1266,19,18,0.020145044
Chester,CHESTER,CHESTER,0.815537828,1.088436975,3116,3054,24,42,-0.019897304
Chittenden,CHITTENDEN,CHITTENDEN,0.892118799,0.58350312,1241,1219,12,6,-0.017727639
Clarendon,CLARENDON,CLARENDON,0.637307447,0.854461683,2543,2462,4,18,-0.031852143
Colchester,COLCHESTER,COLCHESTER,1.012339561,0.551670781,17245,17319,155,94,0.004291099
Concord,CONCORD,CONCORD,0.922465996,1.038494039,1221,1213,11,18,-0.006552007
Corinth,CORINTH,CORINTH,1.23817294,0.83158924,1370,1393,16,6,0.016788321
Cornwall,CORNWALL,CORNWALL,0.689822718,0.691168512,1174,1199,12,9,0.021294719
Coventry,COVENTRY,COVENTRY,0.76952019,0.64043539,1077,1048,6,9,-0.026926648
Craftsbury,CRAFTSBURY,CRAFTSBURY,0.982191323,1.117475672,1195,1173,13,15,-0.018410042
Danby,DANBY,DANBY,0.897386024,0.928082628,1300,1300,8,11,0
Danville,DANVILLE,DANVILLE,0.891301672,1.03762238,2197,2170,19,24,-0.012289486
Derby,DERBY,DERBY,0.991402322,1.273976133,4562,4322,42,56,-0.052608505
Dorset,DORSET,DORSET,0.671528099,0.951564616,2008,1981,13,21,-0.013446215
Dover,DOVER,DOVER,0.705482937,0.94168347,1113,1083,5,8,-0.026954178
Dummerston,DUMMERSTON,DUMMERSTON,0.647019395,0.856895443,1840,1796,12,22,-0.023913043
Duxbury,DUXBURY,DUXBURY,0.630097374,0.825081193,1336,1325,9,12,-0.008233533
East Haven,EASTHAVEN,EAST HAVEN,1.041226204,0.693741849,287,291,3,2,0.013937282
East Montpelier,EASTMONTPELIER,EAST MONTPELIER,0.691810996,0.668569433,2602,2586,19,17,-0.006149116
Eden,EDEN,EDEN,1.049857762,0.708613665,1345,1376,13,12,0.023048327
Elmore,ELMORE,ELMORE,0.822011377,0.617466169,871,877,5,3,0.006888634
Enosburgh,ENOSBURGH,ENOSBURGH,1.301687376,1.14267927,2770,2737,33,38,-0.011913357
Essex,ESSEX,ESSEX,1.037583609,0.582568819,20057,21199,208,150,0.056937727
Fair Haven,FAIRHAVEN,FAIR HAVEN,1.132919357,1.149292704,2693,2594,29,36,-0.036761975
Fairfax,FAIRFAX,FAIRFAX,1.423211748,0.53651395,4398,4632,60,20,0.053206003
Fairfield,FAIRFIELD,FAIRFIELD,1.263919607,0.67913179,1920,1917,17,11,-0.0015625
Fairlee,FAIRLEE,FAIRLEE,0.912870222,0.831007731,980,985,11,8,0.005102041
Fayston,FAYSTON,FAYSTON,0.400319924,0.653193707,1358,1340,6,14,-0.013254786
Ferdinand,FERDINAND,FERDINAND,0,0.625,32,33,0,0,0.03125
Ferrisburgh,FERRISBURGH,FERRISBURGH,0.746421982,0.869665644,2757,2740,27,25,-0.006166123
Fletcher,FLETCHER,FLETCHER,0.993444739,0.351153748,1295,1324,7,3,0.022393822
Franklin,FRANKLIN,FRANKLIN,0.873878314,0.916488994,1417,1417,14,18,0
Georgia,GEORGIA,GEORGIA,0.937015508,0.520992186,4602,4736,38,30,0.029117775
Glastenbury,GLASTENBURY,GLASTENBURY,0,0,8,8,0,0,0
Glover,GLOVER,GLOVER,0.837974043,1.290725376,1113,1086,5,12,-0.02425876
Goshen,GOSHEN,GOSHEN,0.611252432,1.102049978,163,164,1,3,0.006134969
Grafton,GRAFTON,GRAFTON,0.35826307,0.953957243,674,673,1,5,-0.00148368
Granby,GRANBY,GRANBY,0,0.465179175,87,85,0,0,-0.022988506
Grand Isle,GRANDISLE,GRAND ISLE,0.727040295,0.805637289,2069,2046,15,19,-0.011116481
Granville,GRANVILLE,GRANVILLE,0.662764463,0.534493758,297,306,3,1,0.03030303
Greensboro,GREENSBORO,GREENSBORO,0.757200362,1.694128512,754,721,9,12,-0.043766578
Groton,GROTON,GROTON,1.252778022,1.012089995,1020,983,17,10,-0.03627451
Guildhall,GUILDHALL,GUILDHALL,0.470281863,1.479897247,260,255,2,3,-0.019230769
Guilford,GUILFORD,GUILFORD,0.860388589,0.687291958,2104,2107,20,13,0.001425856
Halifax,HALIFAX,HALIFAX,0.752002903,0.750481884,725,702,5,4,-0.031724138
Hancock,HANCOCK,HANCOCK,1.047943874,1.169545486,322,329,3,6,0.02173913
Hardwick,HARDWICK,HARDWICK,1.14146942,0.890945651,2968,2881,30,28,-0.029312668
Hartford,HARTFORD,HARTFORD,1.107649753,1.126183937,9838,9671,108,110,-0.016974995
Hartland,HARTLAND,HARTLAND,0.588722007,0.691458025,3385,3445,30,14,0.017725258
Highgate,HIGHGATE,HIGHGATE,1.053713357,0.694039353,3568,3635,47,28,0.018778027
Hinesburg,HINESBURG,HINESBURG,1.032939984,0.551861622,4457,4537,43,22,0.017949293
Holland,HOLLAND,HOLLAND,0.58621843,1.136213357,624,608,5,6,-0.025641026
Hubbardton,HUBBARDTON,HUBBARDTON,0.605296055,1.070767223,698,683,2,9,-0.021489971
Huntington,HUNTINGTON,HUNTINGTON,1.23255124,0.48469043,1969,1978,26,15,0.004570848
Hyde Park,HYDEPARK,HYDE PARK,0.920874771,1.03866531,3037,3028,26,34,-0.002963451
Ira,IRA,IRA,0.372097062,0.60596333,429,431,1,4,0.004662005
Irasburg,IRASBURG,IRASBURG,1.264538747,0.755805095,1153,1125,12,7,-0.024284475
Isle La Motte,ISLELAMOTTE,ISLE LA MOTTE,0.810212615,1.102915101,473,473,5,5,0
Jamaica,JAMAICA,JAMAICA,0.917237364,0.801753262,1027,1030,11,8,0.00292113
Jay,JAY,JAY,0.689356217,0.690464486,539,561,3,2,0.040816327
Jericho,JERICHO,JERICHO,0.905290583,0.462633713,5028,5053,39,28,0.004972156
Johnson,JOHNSON,JOHNSON,0.989169523,0.595712875,3495,3572,26,27,0.022031474
Killington,KILLINGTON,KILLINGTON,0.855450592,0.85497952,802,782,5,5,-0.024937656
Kirby,KIRBY,KIRBY,0.485048425,0.688952929,490,490,3,4,0
Landgrove,LANDGROVE,LANDGROVE,0.755523048,1.131309211,159,159,0,0,0
Leicester,LEICESTER,LEICESTER,0.701814913,0.900686764,1109,1100,5,10,-0.008115419
Lemington,LEMINGTON,LEMINGTON,0.796039604,0.792156863,102,100,2,2,-0.019607843
Lincoln,LINCOLN,LINCOLN,0.757208325,0.819850336,1266,1260,11,8,-0.004739336
Londonderry,LONDONDERRY,LONDONDERRY,0.937253862,0.881857244,1762,1712,11,15,-0.028376844
Lowell,LOWELL,LOWELL,1.053732305,0.790992105,871,827,12,4,-0.050516648
Ludlow,LUDLOW,LUDLOW,0.776303334,1.555721032,1945,1903,12,34,-0.02159383
Lunenburg,LUNENBURG,LUNENBURG,1.105479604,1.166674986,1287,1305,12,16,0.013986014
Lyndon,LYNDON,LYNDON,0.888322471,1.076893526,5969,5830,64,60,-0.023286983
Maidstone,MAIDSTONE,MAIDSTONE,0.592122888,0.490214927,206,201,1,0,-0.024271845
Manchester,MANCHESTER,MANCHESTER,0.716559073,1.252602934,4339,4312,31,53,-0.006222632
Marlboro,MARLBORO,MARLBORO,0.622460861,0.470672938,1069,1050,11,6,-0.01777362
Marshfield,MARSHFIELD,MARSHFIELD,0.944144163,0.66064794,1567,1524,10,14,-0.02744097
Mendon,MENDON,MENDON,0.769474583,0.769148425,1051,1022,9,7,-0.027592769
Middlebury,MIDDLEBURY,MIDDLEBURY,0.63656991,1.031581267,8477,8654,56,99,0.020880028
Middlesex,MIDDLESEX,MIDDLESEX,0.798243877,0.421888117,1756,1747,13,7,-0.005125285
Middletown Springs,MIDDLETOWNSPRINGS,MIDDLETOWN SPRINGS,0.895586134,0.760783137,741,740,5,6,-0.001349528
